CATEGORY,ASIN,NAME,ORIGINAL_PRICE,URL,SALE_PRICE,AVAILABILITY,RANK
Home & Kitchen > Bath > Bath Rugs,B01LYCF5OS,"Chardin home - 2 Piece Splendor Reversible Bath Rug Set, (17''x24'' / 17''x 24"", Linen-Beige",$17.99,http://www.amazon.com/dp/B01LYCF5OS,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LX1LECE,"Chardin home - 2 Piece Splendor Reversible Bath Rug Set, (17''x24'' / 17''x 24"", Chocolate Brown",$17.99,http://www.amazon.com/dp/B01LX1LECE,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0MG1JS,"Chardin home - 2 Piece Splendor Reversible Bath Rug Set, (17''x24'' / 17''x 24"", White",$17.99,http://www.amazon.com/dp/B01M0MG1JS,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LZZ4MUD,"Chardin home - 2 Piece Splendor Reversible Bath Rug Set, (17''x24'' / 17''x 24"", Burgundy",$17.99,http://www.amazon.com/dp/B01LZZ4MUD,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LYZWKPI,"Chardin home - 2 Piece Splendor Reversible Bath Rug Set, (17''x24'' / 17''x 24"", Black",$17.99,http://www.amazon.com/dp/B01LYZWKPI,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LWQ21VE,"Chardin home - 2 Piece Splendor Reversible Bath Rug Set, (17''x24'' / 17''x 24"", Marine Blue",$17.99,http://www.amazon.com/dp/B01LWQ21VE,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LZNHPRS,"Chardin home - 2 Piece Splendor Reversible Bath Rug Set, (17''x24'' / 17''x 24"", Ivory",$17.99,http://www.amazon.com/dp/B01LZNHPRS,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LWQ21U8,"Chardin home - 2 Piece Splendor Reversible Bath Rug Set, (17''x24'' / 17''x 24"", Sage Green",$17.99,http://www.amazon.com/dp/B01LWQ21U8,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0ASVEG,"Chardin home Shelby Paper/Polyester Shag Rug, Gray",$16.99,http://www.amazon.com/dp/B01M0ASVEG,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LZNCENK,Chardin home Paper/Polyester Shag Rug,$16.99,http://www.amazon.com/dp/B01LZNCENK,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LZB581Z,"Chardin Home - Shelby Paper/Polyester Shag Rug, 20""x32"" Soft & highly absorbent mat, Machine washable, Gray",$16.99,http://www.amazon.com/dp/B01LZB581Z,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LXP1HCJ,Chardin home Plush Solid Pebbles Microfiber Chenille Rug,$17.99,http://www.amazon.com/dp/B01LXP1HCJ,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M1J3A77,"Chardin home Plush Solid Pebbles Microfiber Chenille Rug, Soft and highly absorbent mat, Chocolate",$17.99,http://www.amazon.com/dp/B01M1J3A77,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0MGDME,"Chardin home Plush Solid Pebbles Microfiber Chenille Rug, Gray",$17.99,http://www.amazon.com/dp/B01M0MGDME,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LYC1NBD,"Chardin Home - Bliss Micro Shag Rug, 24""x40"" Soft & highly absorbent mat, Machine washable, Silver Gray",$19.99,http://www.amazon.com/dp/B01LYC1NBD,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LYNU930,"Chardin Home - Bliss Micro Shag Rug, 24""x40"" Soft & highly absorbent mat, Machine washable, Black",$19.99,http://www.amazon.com/dp/B01LYNU930,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0ADRPH,"Chardin Home - Bliss Micro Shag Rug, 24""x40"" Soft & highly absorbent mat, Machine washable, Blue",$19.99,http://www.amazon.com/dp/B01M0ADRPH,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LXOMWMD,"Chardin Home - Bliss Micro Shag Rug, 24""x40"" Soft & highly absorbent mat, Machine washable, Cream",$19.99,http://www.amazon.com/dp/B01LXOMWMD,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LYZ4UJS,"Chardin Home - Bliss Micro Shag Rug, 24""x40"" Soft & highly absorbent mat, Machine washable, Red",$19.99,http://www.amazon.com/dp/B01LYZ4UJS,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Home Décor,B01LYC1NB2,Chardin Home Rainbow Multi Chindi Rag Rug,$7.99,http://www.amazon.com/dp/B01LYC1NB2,$7.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
"Home & Kitchen > Home Décor > Area Rugs, Runners & Pads > Area Rugs",B01KZRZMZU,Chardin Home Rainbow Multi Chindi Rag Rug,$38.77,http://www.amazon.com/dp/B01KZRZMZU,$38.77,Usually ships within 1 to 2 months.,
Home & Kitchen > Bath > Bath Rugs,B01H24VVFE,"Chardin Home - Iris Rug, 21''x34'' mat made with finest Cotton & Rayon Chenille Yarns, Blue Tonal",$14.99,http://www.amazon.com/dp/B01H24VVFE,$14.99,Only 1 left in stock (more on the way).,
"Home & Kitchen > Home Décor > Area Rugs, Runners & Pads > Area Rugs",B01H25FHQC,"Chardin Home - Iris Rug, 21''x34'' mat made with finest Cotton & Rayon Chenille Yarns, Grays & White",$14.03,http://www.amazon.com/dp/B01H25FHQC,$14.03,Only 1 left in stock (more on the way).,
"Home & Kitchen > Home Décor > Area Rugs, Runners & Pads > Area Rugs",B01H27JW2U,"Chardin Home - 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Black & White",$12.03,http://www.amazon.com/dp/B01H27JW2U,$12.03,Usually ships within 1 to 2 months.,"#9,192 in Home and Kitchen ()#1,464 in  >  >  >"
"Home & Kitchen > Home Décor > Area Rugs, Runners & Pads > Area Rugs",B01H287HF8,"Chardin Home - 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Gray & White",$12.99,http://www.amazon.com/dp/B01H287HF8,$12.99,Only 19 left in stock (more on the way).,"#9,988 in Home and Kitchen ()#1,648 in  >  >  >"
